time,bytes_read,bytes_written
537,0,13
538,0,13
539,0,13
54,0,14
540,0,129
541,0,14
542,0,13
543,0,13
544,0,13
545,754,341
546,66,343
547,66,342
548,66,342
549,66,342
55,0,13
550,66,342
551,66,458
552,66,342
553,66,342
554,66,342
555,66,342
556,66,342
557,66,342
558,66,342
559,7668,10931
56,0,13
560,3867,5678
561,2238,3908
562,66,550
563,66,342
564,66,342
565,66,342
566,66,342
567,66,342
568,66,342
569,66,342
57,0,13
570,66,342
571,66,342
572,66,458
573,66,342
574,66,342
575,66,342
576,66,342
577,66,342
578,66,342
579,66,342
58,0,13
580,66,342
581,66,342
582,66,342
583,66,458
584,66,342
585,66,342
586,66,342
587,66,342
588,66,342
589,66,342
59,0,13
590,6582,3600
591,66,687
592,66,342
593,66,342
594,66,458
595,66,342
596,66,342
597,66,342
598,66,342
599,66,342
6,0,13
60,0,13
600,66,342
601,66,342
602,66,342
603,66,342
604,66,342
605,66,458
606,66,342
607,66,342
608,66,342
609,66,342
61,0,13
610,66,342
611,66,342
612,66,342
613,66,342
614,66,342
615,66,342
616,66,458
617,66,342
618,66,342
619,66,342
62,0,13
620,66,342
621,10926,3600
622,66,645
623,66,342
624,66,342
625,66,342
626,66,342
627,66,458
628,66,342
629,66,342
63,3258,3387
630,66,342
631,66,342
632,3295,3028
633,609,492
634,66,931
635,66,387
636,66,342
637,66,342
638,66,458
639,66,342
64,0,167
640,66,342
641,66,342
642,66,342
643,3295,3028
644,609,496
645,66,931
646,66,387
647,66,342
648,66,342
649,66,458
65,0,14
650,66,342
651,66,342
652,4410,2530
653,66,584
654,7096,3600
655,66,590
656,66,342
657,66,342
658,2670,3590
659,66,486
66,0,13
660,66,458
661,66,342
662,66,342
663,66,342
664,66,342
665,4410,4628
666,66,591
667,66,342
668,66,342
669,66,342
67,0,13
670,66,342
671,0,131
672,0,14
673,0,13
674,0,13
675,0,13
676,0,13
677,0,13
678,0,13
679,0,13
68,0,13
680,0,13
681,0,13
682,0,129
683,6516,3272
684,0,311
685,0,14
686,0,13
687,0,13
688,0,13
689,0,13
69,0,13
690,0,13
691,0,13
692,0,13
693,0,129
694,0,14
695,0,13
696,0,13
697,0,13
698,0,13
699,0,13
7,0,13
70,0,13
700,0,13
701,0,13
702,0,13
703,66,340
704,66,458
705,66,342
706,66,342
707,66,342
708,66,342
709,66,342
71,0,13
710,66,342
711,66,342
712,66,342
713,66,342
714,66,342
715,66,458
716,66,342
717,66,342
718,66,342
719,66,342
72,0,13
720,66,342
721,66,342
722,66,342
723,66,342
724,66,342
725,66,342
726,66,458
727,66,342
728,66,342
729,66,342
73,0,13
730,66,342
731,66,342
732,66,342
733,66,342
734,66,342
735,66,342
736,66,342
737,66,458
738,66,342
739,66,342
74,0,129
740,66,342
741,66,342
742,66,342
743,66,342
744,66,342
745,8153,10929
746,3867,5586
747,2172,3578
748,0,349
749,4998,13925
75,0,14
750,1629,1750
751,2172,2241
752,17761,22006
753,10317,10613
754,543,324
755,1629,2235
756,543,662
757,0,110
758,22827,23073
759,16456,16138
76,0,13
760,10512,8885
761,0,172
762,0,14
763,0,556
764,0,61
765,0,13
766,1629,1099
767,0,660
768,0,604
769,543,177
77,0,13
770,0,63
771,0,13
772,543,13
773,0,605
774,543,61
775,0,62
776,8688,4900
777,0,909
778,0,61
779,757,341
78,0,13
780,66,459
781,66,342
782,609,342
783,1152,933
784,66,485
785,66,342
786,66,342
787,1152,1428
788,66,396
789,609,342
79,0,13
790,609,933
791,66,1096
792,66,390
793,609,342
794,66,933
795,609,932
796,66,437
797,66,342
798,1152,1428
799,609,939
8,0,13
80,0,13
800,66,392
801,66,342
802,609,458
803,66,390
804,609,1428
805,609,440
806,66,390
807,6582,3600
808,66,638
809,1695,885
81,0,13
810,609,2116
811,609,1030
812,66,393
813,66,458
814,66,342
815,609,885
816,609,392
817,609,390
818,66,390
819,66,342
82,0,13
820,66,342
821,609,342
822,66,390
823,66,342
824,609,458
825,66,390
826,609,342
827,66,390
828,66,342
829,66,342
83,0,13
830,66,885
831,66,389
832,609,342
833,66,390
834,66,885
835,66,505
836,66,342
837,66,342
838,10926,4114
839,66,687
84,0,13
840,66,342
841,609,342
842,66,390
843,66,342
844,609,342
845,66,390
846,66,458
847,66,342
848,609,885
849,4895,3695
85,0,129
850,66,546
851,66,885
852,66,389
853,66,342
854,609,885
855,66,437
856,66,342
857,66,458
858,66,342
859,66,885
86,0,14
860,3867,3647
861,66,495
862,609,885
863,66,437
864,66,342
865,609,342
866,66,933
867,66,389
868,66,458
869,3324,885
87,0,13
870,609,579
871,6582,3648
872,66,686
873,66,342
874,66,342
875,66,342
876,66,342
877,609,885
878,66,437
879,18549,19028
88,0,13
880,33919,31961
881,66,602
882,3324,3600
883,66,543
884,66,342
885,66,342
886,66,885
887,609,389
